row,field,value,message,suggested_fix
735,store_name,G S ROAD GUWAHATI,Store 'G S ROAD GUWAHATI' not found,Upload store master first or correct store name
736,store_name,G S ROAD GUWAHATI,Store 'G S ROAD GUWAHATI' not found,Upload store master first or correct store name
737,store_name,G S ROAD GUWAHATI,Store 'G S ROAD GUWAHATI' not found,Upload store master first or correct store name
738,store_name,G S ROAD GUWAHATI,Store 'G S ROAD GUWAHATI' not found,Upload store master first or correct store name
739,store_name,G S ROAD GUWAHATI,Store 'G S ROAD GUWAHATI' not found,Upload store master first or correct store name
740,store_name,G S ROAD GUWAHATI,Store 'G S ROAD GUWAHATI' not found,Upload store master first or correct store name
741,store_name,G S ROAD GUWAHATI,Store 'G S ROAD GUWAHATI' not found,Upload store master first or correct store name
742,store_name,G S ROAD GUWAHATI,Store 'G S ROAD GUWAHATI' not found,Upload store master first or correct store name
743,store_name,G S ROAD GUWAHATI,Store 'G S ROAD GUWAHATI' not found,Upload store master first or correct store name
744,store_name,G S ROAD GUWAHATI,Store 'G S ROAD GUWAHATI' not found,Upload store master first or correct store name
745,store_name,G S ROAD GUWAHATI,Store 'G S ROAD GUWAHATI' not found,Upload store master first or correct store name
746,store_name,G S ROAD GUWAHATI,Store 'G S ROAD GUWAHATI' not found,Upload store master first or correct store name
747,store_name,G S ROAD GUWAHATI,Store 'G S ROAD GUWAHATI' not found,Upload store master first or correct store name
748,store_name,G S ROAD GUWAHATI,Store 'G S ROAD GUWAHATI' not found,Upload store master first or correct store name
749,store_name,G S ROAD GUWAHATI,Store 'G S ROAD GUWAHATI' not found,Upload store master first or correct store name
750,store_name,G S ROAD GUWAHATI,Store 'G S ROAD GUWAHATI' not found,Upload store master first or correct store name
751,store_name,G S ROAD GUWAHATI,Store 'G S ROAD GUWAHATI' not found,Upload store master first or correct store name
752,store_name,G S ROAD GUWAHATI,Store 'G S ROAD GUWAHATI' not found,Upload store master first or correct store name
753,store_name,G S ROAD GUWAHATI,Store 'G S ROAD GUWAHATI' not found,Upload store master first or correct store name
754,store_name,G S ROAD GUWAHATI,Store 'G S ROAD GUWAHATI' not found,Upload store master first or correct store name
755,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
756,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
757,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
758,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
759,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
760,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
761,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
762,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
763,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
764,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
765,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
766,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
767,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
768,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
769,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
770,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
771,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
772,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
773,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
774,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
775,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
776,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
777,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
778,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
779,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
780,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
781,store_name,P&M MALL PATNA,Store 'P&M MALL PATNA' not found,Upload store master first or correct store name
782,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
783,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
784,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
785,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
786,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
787,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
788,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
789,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
790,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
791,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
792,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
793,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
794,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
795,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
796,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
797,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
798,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
799,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
800,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
801,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
802,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
803,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
804,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
