buyer_name,vendor_name,sku_code,category,fabric,TOP COLOUR,colour,colour_family,mrp,story,sub_story,SUB STORY 2,store_group_rule,style_risk_group,size,total_buy_qty,ecom_reserved_qty,ars_reserved_qty,expected_first_allocation_qty
David,Design world,EWS6CD23001A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,XS,28,2,9,17
David,Design world,EWS6CD23001A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,S,56,3,19,34
David,Design world,EWS6CD23001A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,M,84,5,28,51
David,Design world,EWS6CD23001A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,L,84,5,28,51
David,Design world,EWS6CD23001A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,XL,56,3,19,34
David,Design world,EWS6CD23001A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,2XL,28,2,9,17
David,Design world,EWS6CD23001A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,S/M,0,0,0,0
David,Design world,EWS6CD23001A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,L/XL,0,0,0,0
David,Design world,EWS6CD23002A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,XS,28,2,9,17
David,Design world,EWS6CD23002A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,S,56,3,19,34
David,Design world,EWS6CD23002A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,M,84,5,28,51
David,Design world,EWS6CD23002A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,L,84,5,28,51
David,Design world,EWS6CD23002A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,XL,56,3,19,34
David,Design world,EWS6CD23002A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,2XL,28,2,9,17
David,Design world,EWS6CD23002A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,S/M,0,0,0,0
David,Design world,EWS6CD23002A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,L/XL,0,0,0,0
David,Design world,EWS6CD23007A,Salwar Suit,Linen,Mustard,MUSTARD,YELLOW,6998,(blank),(blank),(blank),All Stores,No Group,XS,21,2,7,12
